date,region,ISO3,ais_portcalls_container,ais_portcalls_general_cargo,ais_portcalls_dry_bulk,ais_portcalls_roro,ais_portcalls_tanker,ais_import_tanker,ais_export_tanker,ais_import_dry_bulk,ais_export_dry_bulk,ais_import_container,ais_export_container,ais_import_general_cargo,ais_export_general_cargo,ais_import_roro,ais_export_roro,value_import_total,value_export_total,volume_export_total,volume_import_total,trade_value,trade_volume,ObjectId
2020-01-10,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-01-17,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-01-24,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-01-31,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-02-07,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-02-14,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-02-21,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-02-28,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-03-06,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-03-13,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
