date,bab_el-mandeb_strait_n_container,dover_strait_n_container,gibraltar_strait_n_container,malacca_strait_n_container,suez_canal_n_container,taiwan_strait_n_container,bab_el-mandeb_strait_n_total,dover_strait_n_total,gibraltar_strait_n_total,malacca_strait_n_total,suez_canal_n_total,taiwan_strait_n_total,bab_el-mandeb_strait_capacity_container,dover_strait_capacity_container,gibraltar_strait_capacity_container,malacca_strait_capacity_container,suez_canal_capacity_container,taiwan_strait_capacity_container,bab_el-mandeb_strait_capacity,dover_strait_capacity,gibraltar_strait_capacity,malacca_strait_capacity,suez_canal_capacity,taiwan_strait_capacity
2021-04-16 00:00:00+00:00,19.714285714285715,36.42857142857143,32.285714285714285,40.0,15.0,91.85714285714286,63.57142857142857,171.57142857142858,130.57142857142858,162.0,54.285714285714285,273.0,1308434.051518347,1046503.806853878,1182537.6906571656,1289825.1648344672,935201.3685721775,1875084.5875620842,3028264.0599008924,3054648.50437484,3509734.898077156,6111559.923823583,2469455.8646747316,6087996.51425662
2021-04-23 00:00:00+00:00,15.142857142857142,37.42857142857143,29.0,44.42857142857143,16.714285714285715,90.57142857142857,50.714285714285715,174.71428571428572,131.28571428571428,161.57142857142858,54.857142857142854,299.7142857142857,926567.2026728996,992308.087200133,1024036.6274313179,1586433.000794057,1077811.9720050853,1894765.118800673,2540594.5809505545,3181251.2860095715,3447956.3971161223,6588169.553005307,2735462.86255875,7066264.3646498425
2021-04-30 00:00:00+00:00,17.285714285714285,35.714285714285715,32.142857142857146,37.714285714285715,17.142857142857142,97.14285714285714,56.142857142857146,168.0,128.42857142857142,162.0,50.714285714285715,285.2857142857143,1217181.7583669089,1032794.9508098129,1166780.1275728513,1304278.2115208057,1104480.1197384712,2056264.4123232756,2795243.2519653784,3029127.711407171,3360402.16389028,6806050.15925661,2398563.9872485544,6435609.8259615395
2021-05-07 00:00:00+00:00,15.857142857142858,31.714285714285715,29.142857142857142,47.42857142857143,17.571428571428573,89.14285714285714,57.714285714285715,158.28571428571428,133.28571428571428,176.42857142857142,57.0,271.57142857142856,991564.556208213,874279.8881538324,978262.2564428495,1498710.4008626086,1149592.5444833352,1897635.5645280129,2553201.8485487574,2918768.377585493,3497268.7495614174,7120531.3098719,2670541.1199647714,6145983.387974405
2021-05-14 00:00:00+00:00,16.0,34.42857142857143,31.0,38.285714285714285,15.857142857142858,88.71428571428571,54.857142857142854,162.28571428571428,131.14285714285714,157.85714285714286,56.285714285714285,259.2857142857143,988724.8842444585,1056723.7651653322,1132548.3407673668,1289545.886280887,942751.0586547413,1803588.70747463,2611327.91020476,3249482.5570709617,3471098.1520012296,6089351.585156345,2517497.315450696,5793964.704568973
2021-05-21 00:00:00+00:00,16.571428571428573,31.857142857142858,29.571428571428573,36.857142857142854,16.857142857142858,94.28571428571429,53.285714285714285,153.28571428571428,132.85714285714286,144.28571428571428,53.714285714285715,272.57142857142856,965479.9157164211,927920.5476549176,1091494.5341043489,1341909.8171814214,1024086.7675143678,2025507.2924813216,2532078.297558123,2834980.639455884,3512286.4106852217,6189448.233742333,2632061.412205546,6389251.195109697
2021-05-28 00:00:00+00:00,17.571428571428573,35.42857142857143,31.428571428571427,34.57142857142857,17.571428571428573,86.85714285714286,57.285714285714285,164.0,127.71428571428571,146.85714285714286,55.285714285714285,258.14285714285717,1225878.3112793744,863933.2168111381,1116219.4390679172,1146782.566200375,1121250.411696418,1829939.107436,2911710.820287746,2981899.1422576387,3413286.888950733,6224718.620292866,2681909.967998057,5673721.302034398
2021-06-04 00:00:00+00:00,16.0,36.714285714285715,30.857142857142858,40.142857142857146,16.0,86.71428571428571,55.42857142857143,167.85714285714286,135.28571428571428,155.57142857142858,53.0,269.2857142857143,994355.7692107873,957333.9625599041,965902.4419804157,1279333.5534724486,1011845.236115644,1753020.2324627615,2673025.5134678073,2690561.990850716,3516726.564103657,5896539.003497707,2621115.5706819,5884597.699535749
2021-06-11 00:00:00+00:00,15.714285714285714,34.142857142857146,31.428571428571427,37.142857142857146,17.0,94.0,56.142857142857146,157.57142857142858,126.0,146.0,56.0,271.85714285714283,979254.2815117649,938529.0444956481,1133490.065471902,1300370.4142984028,1034951.9126501556,1976657.5447797985,2693626.414564526,2921814.5949606816,3438330.475965343,5736120.575500397,2565390.83054344,6377784.977855873
2021-06-18 00:00:00+00:00,18.0,35.57142857142857,31.428571428571427,35.142857142857146,16.571428571428573,86.0,55.57142857142857,166.28571428571428,131.71428571428572,136.85714285714286,55.0,258.2857142857143,1064574.6629484687,938600.8216632564,1002645.0460216666,1303847.4398493816,987905.3354378326,1744343.6914568744,2719471.900977631,2948883.8145024143,3444967.4115883526,5728340.864474199,2562375.7996203457,5497629.262524895
2021-06-25 00:00:00+00:00,16.428571428571427,33.0,34.142857142857146,37.285714285714285,16.428571428571427,90.42857142857143,61.57142857142857,149.71428571428572,136.0,143.71428571428572,55.285714285714285,268.2857142857143,1034094.5008387818,869834.5310154302,1158016.7533279906,1207974.0513913068,1030005.9961543326,1960433.8034392614,2954183.2694293982,2514917.8060389915,3708623.495242237,5466761.197432609,2641870.1188375945,6136998.794511199
2021-07-02 00:00:00+00:00,17.571428571428573,30.857142857142858,30.428571428571427,37.0,17.857142857142858,83.71428571428571,58.42857142857143,158.71428571428572,128.28571428571428,151.71428571428572,57.142857142857146,254.14285714285714,1118239.7192497253,893697.6030435978,1049816.6761185841,1163645.9718126175,1166228.4660879422,1850246.8609916673,2784380.3034346225,2646689.4587685145,3420842.240380534,6120467.82637012,2802622.8773084325,5811736.577675328
2021-07-09 00:00:00+00:00,17.857142857142858,33.857142857142854,32.714285714285715,32.857142857142854,15.714285714285714,90.71428571428571,56.714285714285715,152.71428571428572,128.28571428571428,142.28571428571428,52.857142857142854,252.14285714285714,1086474.1280565746,952319.1756024985,1110909.6822127292,1255989.2384466636,963721.7027074898,1888105.6227016642,2583199.7207555915,2683995.5884739384,3573546.1837880057,6154559.175197701,2536285.629118349,5627375.76564003
2021-07-16 00:00:00+00:00,15.857142857142858,33.285714285714285,31.142857142857142,34.42857142857143,17.142857142857142,85.14285714285714,55.57142857142857,163.28571428571428,123.14285714285714,148.42857142857142,54.0,247.14285714285714,985689.016068721,893089.4058932342,1050405.7993604892,1226306.1201381576,1075397.8753852262,1819321.7924391385,2717378.9447127315,2830019.3185530105,3262216.1259148098,5920125.204430736,2634832.385385393,5644683.540568456
2021-07-23 00:00:00+00:00,18.714285714285715,35.142857142857146,31.714285714285715,36.714285714285715,17.571428571428573,67.28571428571429,61.57142857142857,153.28571428571428,126.42857142857143,133.71428571428572,52.857142857142854,213.85714285714286,1285046.8151250405,984692.6247763844,1058543.9081141776,1191883.1763079837,1159353.4752413146,1498397.8586748356,2758567.6904027583,2460198.652784284,3157327.3569938303,5187963.069765546,2701518.313124371,5608617.62078505
2021-07-30 00:00:00+00:00,15.857142857142858,33.57142857142857,33.857142857142854,36.285714285714285,17.571428571428573,87.57142857142857,58.142857142857146,156.0,125.85714285714286,136.14285714285714,62.42857142857143,260.7142857142857,1004190.2663555726,885465.4501517707,1156491.1158883006,1158458.7913320616,1070809.1104245696,1660369.0103024559,2606787.2805804727,2685408.70307341,3456284.4563548095,5666578.540457551,2577587.38607562,6172400.965039034
2021-08-06 00:00:00+00:00,17.285714285714285,33.0,33.285714285714285,33.0,16.571428571428573,78.14285714285714,56.142857142857146,155.0,126.28571428571429,135.42857142857142,59.714285714285715,221.85714285714286,971037.7162992231,949697.8814520815,1073527.3007133398,1164147.2255893834,949564.634314197,1697109.448923527,2444151.2430484626,2746968.0083795628,3491848.4386342326,6278318.625145846,2403168.4120049733,5007618.9610558385
2021-08-13 00:00:00+00:00,15.714285714285714,34.285714285714285,31.857142857142858,37.714285714285715,15.571428571428571,89.71428571428571,60.285714285714285,159.85714285714286,130.71428571428572,145.0,60.42857142857143,266.42857142857144,829145.1773048766,918156.5714340082,1013571.1429855513,1234074.071876671,879811.8063971641,1822372.1448495742,2621954.863382513,3011932.0664020567,3315346.4746754956,5674866.762155333,2788326.0854858956,5976565.947689585
2021-08-20 00:00:00+00:00,18.857142857142858,33.285714285714285,31.857142857142858,35.57142857142857,18.0,83.42857142857143,60.714285714285715,147.85714285714286,128.57142857142858,145.0,62.714285714285715,255.42857142857142,1110397.5180511156,837827.8320653064,965619.6932648175,1215844.3984612399,1077028.4933159952,1850310.7067221042,2755821.38045274,2499486.0829713,3333030.466352983,5974505.466474776,2783179.1196751515,5588876.041112165
2021-08-27 00:00:00+00:00,17.571428571428573,32.142857142857146,29.428571428571427,40.857142857142854,17.571428571428573,84.42857142857143,60.857142857142854,149.0,125.71428571428571,163.42857142857142,63.42857142857143,250.28571428571428,1009475.9039270442,772344.3613291961,984972.4895663896,1215890.3078034318,1010655.9923045087,1770140.791716406,2722408.440261267,2508698.386221823,3324715.4215514897,6156374.670622525,2674295.3063632525,5535523.922907732
2021-09-03 00:00:00+00:00,17.428571428571427,35.57142857142857,31.857142857142858,39.42857142857143,17.428571428571427,84.85714285714286,59.57142857142857,162.42857142857142,134.28571428571428,148.71428571428572,58.42857142857143,255.85714285714286,1069963.4913083916,910228.9244627353,1185298.8790514928,1210947.6651643289,1069930.4502859616,1851042.8002575,2885204.6019986332,2747954.4450050085,3985014.2310834127,5465015.14658118,2958646.54225378,5815057.250404737
2021-09-10 00:00:00+00:00,17.428571428571427,34.57142857142857,30.714285714285715,37.0,18.285714285714285,84.85714285714286,60.857142857142854,160.57142857142858,121.0,147.85714285714286,64.28571428571429,258.2857142857143,1016530.7356963299,946037.4741837251,1014811.6349880315,1264453.742684491,1050861.3079770538,1838120.184692417,3030965.402818733,2798825.2937607574,3149349.7464422174,5988594.4992784355,2796780.0851196786,6111198.977687948
2021-09-17 00:00:00+00:00,17.0,35.0,31.142857142857142,34.142857142857146,18.142857142857142,71.0,57.0,160.0,133.71428571428572,139.0,57.57142857142857,216.42857142857142,1009861.8021384021,894585.1490816531,947285.5458225673,1174480.0023552533,1016981.6521875926,1429037.3198014328,2563918.7744613057,2765039.80566235,3672845.858754906,6017230.397335187,2729354.672276914,5462181.768424644
2021-09-24 00:00:00+00:00,16.571428571428573,32.714285714285715,31.857142857142858,35.285714285714285,18.142857142857142,80.0,64.85714285714286,158.57142857142858,130.28571428571428,137.57142857142858,65.71428571428571,242.0,1012378.5886757581,828490.180132311,995567.4220576084,1104498.4458918248,1046052.2907161441,1755069.18007585,3023605.70342258,2789644.9338050773,3333835.105562027,5690593.1760708215,2928935.390246504,5702682.815447293
2021-10-01 00:00:00+00:00,16.571428571428573,35.0,33.857142857142854,39.857142857142854,18.285714285714285,87.85714285714286,58.42857142857143,160.57142857142858,135.14285714285714,152.42857142857142,63.42857142857143,253.14285714285714,910971.0857266553,989004.9205119873,1095674.8654600203,1265083.319175645,1029215.8816470075,1822168.5512253314,2661777.860982357,3036292.4800846674,3316469.1651167446,5948604.191126233,2887513.2630401156,5558311.8281950755
2021-10-08 00:00:00+00:00,18.0,34.0,32.714285714285715,35.857142857142854,18.142857142857142,85.0,60.42857142857143,170.42857142857142,130.57142857142858,146.85714285714286,61.142857142857146,251.71428571428572,1029148.8968189165,902106.25804977,1018086.2319833061,1159020.2925225622,1014103.1473994611,1805814.0124828774,2808127.9354361384,3120359.554863564,3343869.290922591,6168912.358395727,2686585.62956974,5373904.157727502
2021-10-15 00:00:00+00:00,16.142857142857142,33.285714285714285,30.0,35.857142857142854,18.714285714285715,74.57142857142857,59.57142857142857,154.85714285714286,125.14285714285714,135.28571428571428,60.857142857142854,221.14285714285714,911938.0159328504,924324.1758313784,931604.7593877829,1161726.6326574183,1014677.932992127,1526100.202127805,2733956.4752696985,2864526.9193423814,3431335.339864316,5325317.4359951075,2675338.540853777,5644927.674020057
2021-10-22 00:00:00+00:00,17.285714285714285,33.285714285714285,31.0,38.142857142857146,19.285714285714285,75.0,56.0,155.71428571428572,130.14285714285714,150.42857142857142,64.0,228.14285714285714,995425.229470201,836641.2722526537,1042874.4164239796,1197926.0314319015,1214363.96277176,1563238.1239651514,2660490.328813005,2879048.42762611,3451867.2606437528,6230025.708024566,3200917.6490660715,5053049.961856751
2021-10-29 00:00:00+00:00,16.571428571428573,33.714285714285715,31.428571428571427,36.285714285714285,14.142857142857142,79.42857142857143,58.714285714285715,161.28571428571428,126.28571428571429,151.57142857142858,56.57142857142857,241.71428571428572,915885.7022045694,986279.0259872704,1028550.2393505963,1260818.6643799224,769023.5457599164,1768084.27600335,2779953.5409562015,3133515.985939064,3452323.83568723,5532296.506953088,2562052.253153912,5555220.27756797
2021-11-05 00:00:00+00:00,16.428571428571427,34.285714285714285,33.0,35.285714285714285,17.714285714285715,85.0,62.714285714285715,160.0,126.57142857142857,151.57142857142858,64.57142857142857,253.14285714285714,945686.7338978691,974387.5121598616,1054913.5237129375,1153235.2118137965,977184.6317494789,1824861.8491553927,2674850.257442906,3117051.87093797,3232816.67418649,6571249.190117741,2771676.286274246,5949976.865743236
2021-11-12 00:00:00+00:00,17.0,33.714285714285715,31.428571428571427,48.142857142857146,17.0,74.28571428571429,55.857142857142854,162.71428571428572,123.28571428571429,187.85714285714286,58.142857142857146,227.42857142857142,1009395.6209600923,895938.8975844131,1083182.2807093929,1561401.5863544536,1046360.9737417058,1666934.18829902,2553963.645044236,3171028.516781264,3304992.3350640745,7143048.020516342,2510027.7193362126,5351384.114543302
2021-11-19 00:00:00+00:00,17.571428571428573,33.285714285714285,23.571428571428573,52.714285714285715,19.571428571428573,77.14285714285714,59.857142857142854,164.14285714285714,105.85714285714286,206.57142857142858,62.42857142857143,241.14285714285714,975801.2835309185,974838.6330505296,873701.2051619327,1588677.0135127457,1189931.2629295888,1574961.6684886515,2555934.4299593032,2954490.726766177,3186859.0539381844,7491651.501299811,2914265.354355724,5034410.785906206
2021-11-26 00:00:00+00:00,19.142857142857142,32.285714285714285,30.142857142857142,53.142857142857146,17.857142857142858,77.0,64.85714285714286,157.42857142857142,121.0,201.71428571428572,63.0,229.85714285714286,1119108.0672714987,939469.9366048838,1089805.4370234509,1545686.0867010828,1009976.4937671024,1737257.8453665085,2862750.350519173,3081161.5738042817,3497330.516854859,7135484.443242004,2863643.2950347685,5107689.666796456
2021-12-03 00:00:00+00:00,16.857142857142858,32.857142857142854,29.857142857142858,52.285714285714285,17.571428571428573,79.85714285714286,60.42857142857143,152.57142857142858,120.71428571428571,202.14285714285714,60.0,242.42857142857142,1025639.709882807,947725.0898052762,1017840.6339436333,1616191.27780325,1158262.1320217133,1652580.383674927,2750717.1303074015,3112329.0727575715,3514422.915996237,7308924.637288786,2777208.4284273013,5193308.500611896
2021-12-10 00:00:00+00:00,18.714285714285715,31.285714285714285,25.285714285714285,52.0,18.714285714285715,79.0,59.285714285714285,157.0,103.85714285714286,195.71428571428572,60.714285714285715,242.71428571428572,1126454.1455128263,873441.01542072,902072.8382774872,1562062.159620064,1113318.7699566574,1726681.8782336214,2931823.642167579,2938488.261817883,2853131.904808539,6962426.328097518,2917666.81548507,4937689.867278649
2021-12-17 00:00:00+00:00,15.571428571428571,37.0,27.0,50.42857142857143,16.428571428571427,77.85714285714286,56.57142857142857,173.71428571428572,109.71428571428571,198.85714285714286,57.142857142857146,229.42857142857142,950940.9422834252,934219.4104732907,1058028.0593136128,1498432.3512519915,1018144.2464053653,1724073.7829722015,2572050.6495183916,3065709.675054323,3373983.3600728842,7245960.033204335,2699275.102628796,5349534.944084736
2021-12-24 00:00:00+00:00,17.428571428571427,33.714285714285715,31.285714285714285,49.857142857142854,17.0,76.14285714285714,62.714285714285715,172.14285714285714,135.0,192.71428571428572,59.42857142857143,227.42857142857142,1018271.9297625469,980162.3784545186,969417.7668188056,1542112.3977876643,1008933.2540530054,1623358.9189341601,2963207.4623314226,3297779.82027923,3510451.957517589,7643430.383666674,2923058.742365747,4959082.511242246
2021-12-31 00:00:00+00:00,17.857142857142858,27.857142857142858,30.714285714285715,55.142857142857146,18.285714285714285,72.28571428571429,60.0,146.0,125.85714285714286,206.14285714285714,58.42857142857143,213.14285714285714,1027768.2312688306,758491.0257256345,1034183.3472663695,1561321.7768914087,1002296.7627223121,1460193.5805505705,2766181.6011075745,2662408.9103767616,3612643.6674837484,7397193.553093334,2614466.089380991,4765833.357949457
