region,ISO3,date,ais_portcalls_container,ais_portcalls_general_cargo,ais_portcalls_dry_bulk,ais_portcalls_roro,ais_portcalls_tanker,ais_import_tanker,ais_export_tanker,ais_import_dry_bulk,ais_export_dry_bulk,ais_import_container,ais_export_container,ais_import_general_cargo,ais_export_general_cargo,ais_import_roro,ais_export_roro,value_import_total,value_export_total,volume_export_total,volume_import_total,trade_value,trade_volume,ObjectId
China,CHN,2019/02/01,4668,1665,4658,302,4308,38084835.6570972,13911068.4275674,152632748.860305,56386428.6944456,59469200.8954293,73556296.0613747,2807483.10232832,2579927.56788435,156697.503170822,192011.115263793,85.7385384864636,77.8458379460002,76.6938941370357,83.5580036836974,80.5564552979232,80.1259489103665,2907
China,CHN,2024/07/01,6602,2385,6097,442,5252,41500477.1932569,17660996.5658666,174886862.596711,71936268.6128018,91295762.0443053,127573264.518275,3695101.25267902,3953649.81851082,188649.340717754,457271.800102774,134.452900648512,142.078418707358,130.435592480902,120.973752948329,139.459560756046,125.704672714616,2910
China,CHN,2019/03/01,6388,2316,5608,452,4772,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914
China,CHN,2024/08/01,6632,2424,5906,437,5433,50669281.6236348,17622154.9834492,190229043.467488,58959638.701082,89446097.8848002,130622037.655426,3709921.03937882,3682980.29753559,198369.62902417,431794.81379745,136.08350894404,144.366502782607,132.101512063481,122.254797668602,141.521845658016,127.178154866041,2917
China,CHN,2019/04/01,5958,2267,5318,405,4420,40923951.6180145,12514410.4913918,155884519.716403,62201144.9708375,71506835.3572955,98045088.3723148,3506955.49386445,3067979.95403414,215484.966838498,250548.625943909,99.2994789126053,100.854584855907,100.317171133779,97.9818659683388,100.320509461512,99.1495185510587,2921
China,CHN,2019/05/01,6379,2518,6152,460,5019,43434162.5632449,14373860.5048066,183958592.671628,70944562.3285037,74808180.44858,100997357.601532,4076622.21912406,3399049.4740832,210834.812250141,284322.923293183,104.776035325639,104.119912667831,104.171761371385,104.382402926906,104.345247133788,104.277082149146,2922
China,CHN,2019/06/01,6438,2339,5887,476,4707,39814686.6319125,14414223.9357904,177054171.671036,68811654.1204427,73300062.7065657,100665838.213018,4147017.8651207,3524739.88798637,223146.824345738,334103.820979383,101.576241192407,103.863890830755,103.910341378374,101.801118765698,103.078235430169,102.855730072036,2923
China,CHN,2019/07/01,6543,2389,5852,477,4844,42740093.6991833,14721875.1137188,183790055.427894,65678263.5023609,73601261.1539566,102060607.966993,3895807.41369097,3303604.61448744,209330.157556962,327206.175052467,102.945355808064,104.913248416041,104.867966642476,102.775884879322,104.237408274564,103.821925760899,2924
China,CHN,2019/08/01,6364,2330,5699,478,5033,41872474.7200543,16379751.5436375,181189263.927743,61433894.8732047,72490059.7002146,101229068.554571,4051287.97765132,3340454.25911193,243857.209231324,314918.533508674,100.078688804065,103.619768882063,104.074089088997,101.473078047544,102.403643545144,102.77358356827,2925
China,CHN,2019/09/01,6153,2301,5640,494,4958,40805848.9168166,15479087.8643977,176858023.960049,61446607.9124515,73751051.6149039,101418751.09591,3904505.72746019,3558655.8685462,209882.100056026,315758.897242192,101.022086156665,103.866054386336,104.348261143094,102.192205552295,102.889340574359,103.270233347694,2926
