date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/02/27 00:00:00+00,2019,2,27,chokepoint1,Suez Canal,20,2,3,3,10,28,38,1258949.86689729,22638.0745731478,11260.434465965,5366.9941612075,731662.699619045,1298215.37009761,2029878.06971665,58
2019/02/28 00:00:00+00,2019,2,28,chokepoint1,Suez Canal,14,16,4,3,17,37,54,873440.863564409,630467.104511117,14264.4738492052,9046.34865094409,555574.590950252,1527218.79057568,2082793.38152593,59
2019/03/01 00:00:00+00,2019,3,1,chokepoint1,Suez Canal,18,8,5,2,20,33,53,1019636.22247739,637326.092326202,13556.8897066933,17758.5415219735,1037578.14460561,1688277.74603226,2725855.89063787,60
2019/03/02 00:00:00+00,2019,3,2,chokepoint1,Suez Canal,17,13,5,2,14,37,51,1195473.75592152,674692.738051346,36065.5070990298,11365.2792000739,733565.164884398,1917597.28027197,2651162.44515637,61
2019/03/03 00:00:00+00,2019,3,3,chokepoint1,Suez Canal,22,10,3,3,15,38,53,1365695.34046162,597044.175952546,1737.436892672,13832.1155621795,832481.880747823,1978309.06886901,2810790.94961684,62
2019/03/04 00:00:00+00,2019,3,4,chokepoint1,Suez Canal,16,7,2,4,21,29,50,660315.181088699,482510.393285719,24117.0109813625,8429.33799395599,782340.770792587,1175371.92334974,1957712.69414232,63
2019/03/05 00:00:00+00,2019,3,5,chokepoint1,Suez Canal,15,10,6,0,19,31,50,922559.703642868,385174.266676552,40860.773979376,0,926245.195914984,1348594.7442988,2274839.94021378,64
2019/03/06 00:00:00+00,2019,3,6,chokepoint1,Suez Canal,12,10,9,2,18,33,51,762038.804748915,605426.082948907,49483.6951661005,6331.88509170025,918383.828732724,1423280.46795562,2341664.29668835,65
2019/03/07 00:00:00+00,2019,3,7,chokepoint1,Suez Canal,16,6,6,3,22,31,53,1054799.27150388,288857.698471659,13729.4858810205,24461.2399537959,1343904.84384814,1381847.69581036,2725752.5396585,66
2019/03/08 00:00:00+00,2019,3,8,chokepoint1,Suez Canal,19,8,1,1,17,29,46,1290221.83035655,533453.294494058,2308.55499539879,0,835180.982294369,1825983.67984601,2661164.66214038,67
2019/03/09 00:00:00+00,2019,3,9,chokepoint1,Suez Canal,11,15,7,2,26,35,61,470642.315025303,632112.212882958,62079.4259987802,3034.44836215106,1366030.66940595,1167868.40226919,2533899.07167514,68
2019/03/10 00:00:00+00,2019,3,10,chokepoint1,Suez Canal,17,9,5,4,19,35,54,866145.756803603,513748.508116529,18555.8959699645,3066.60383365909,826962.671889257,1401516.76472376,2228479.43661301,69
2019/03/11 00:00:00+00,2019,3,11,chokepoint1,Suez Canal,8,13,7,6,23,34,57,414340.798776266,486258.153611632,47299.5533585356,18427.7466336539,997426.532484951,966326.252380088,1963752.78486504,70
