date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019/04/15 00:00:00+00,2019,4,15,port2027,Shanghai (Yangshan),China,CHN,15,0,0,0,1,15,16,418061.505292607,0,0,0,0,418061.505292607,418061.505292607,837878.772386908,0,0,0,0,837878.772386908,837878.772386908,3501643
2019/04/16 00:00:00+00,2019,4,16,port2027,Shanghai (Yangshan),China,CHN,17,0,1,0,0,18,18,274242.483567014,0,0,0,0,274242.483567014,274242.483567014,526309.100719437,0,0,0,0,526309.100719437,526309.100719437,3501644
2019/04/17 00:00:00+00,2019,4,17,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,2,11,13,766311.889066366,0,0,0,10800.2141067052,766311.889066366,777112.103173071,596218.706121752,0,0,0,1315.45140021938,596218.706121752,597534.157521972,3501645
2019/04/18 00:00:00+00,2019,4,18,port2027,Shanghai (Yangshan),China,CHN,12,1,0,0,2,13,15,192370.365618995,0,0,0,0,192370.365618995,192370.365618995,611754.765623483,0,0,0,1537.17310830621,611754.765623483,613291.938731789,3501646
2019/04/19 00:00:00+00,2019,4,19,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,1,11,12,311041.613313542,0,0,0,3023.77615525489,311041.613313542,314065.389468797,555829.726011393,0,0,0,3749.08852025983,555829.726011393,559578.814531653,3501647
2019/04/20 00:00:00+00,2019,4,20,port2027,Shanghai (Yangshan),China,CHN,14,1,1,0,0,16,16,735217.949834471,0,0,0,0,735217.949834471,735217.949834471,539393.013066921,0,0,0,0,539393.013066921,539393.013066921,3501648
2019/04/21 00:00:00+00,2019,4,21,port2027,Shanghai (Yangshan),China,CHN,11,0,2,0,0,13,13,156396.305883922,0,0,0,0,156396.305883922,156396.305883922,455244.261654077,0,5109.64501456332,0,0,460353.906668641,460353.906668641,3501649
2019/04/22 00:00:00+00,2019,4,22,port2027,Shanghai (Yangshan),China,CHN,6,0,0,0,1,6,7,0,0,0,0,76790.6250015,0,76790.6250015,345448.029747892,0,0,0,0,345448.029747892,345448.029747892,3501650
2019/01/01 00:00:00+00,2019,1,1,port2027,Shanghai (Yangshan),China,CHN,15,1,1,0,1,17,18,627387.371104225,0,321.376435526603,0,3023.77615525489,627708.747539752,630732.523695007,583851.026746211,0,1550.92576148691,0,3749.08852025983,585401.952507698,589151.041027957,3501691
2019/01/02 00:00:00+00,2019,1,2,port2027,Shanghai (Yangshan),China,CHN,13,0,0,0,0,13,13,145451.954151521,0,0,0,0,145451.954151521,145451.954151521,444517.133390749,0,0,0,0,444517.133390749,444517.133390749,3501692
2019/01/03 00:00:00+00,2019,1,3,port2027,Shanghai (Yangshan),China,CHN,10,1,0,0,2,11,13,373157.93079128,0,0,0,0,373157.93079128,373157.93079128,383901.8438676,0,0,0,723.500297520925,383901.8438676,384625.344165121,3501693
2019/01/04 00:00:00+00,2019,1,4,port2027,Shanghai (Yangshan),China,CHN,14,0,0,0,0,14,14,430741.446051621,0,0,0,0,430741.446051621,430741.446051621,329250.556304085,0,0,0,0,329250.556304085,329250.556304085,3501694
2019/01/05 00:00:00+00,2019,1,5,port2027,Shanghai (Yangshan),China,CHN,13,0,0,0,1,13,14,208784.356913682,0,0,0,9768.89305524097,208784.356913682,218553.249968923,331818.315554841,0,0,0,0,331818.315554841,331818.315554841,3501695
2019/01/06 00:00:00+00,2019,1,6,port2027,Shanghai (Yangshan),China,CHN,13,1,0,0,1,14,15,311592.918666456,0,0,0,0,311592.918666456,311592.918666456,371881.933972107,0,0,0,0,371881.933972107,371881.933972107,3501696
2019/01/07 00:00:00+00,2019,1,7,port2027,Shanghai (Yangshan),China,CHN,13,0,2,0,1,15,16,158252.343198786,0,0,0,12814.8992273486,158252.343198786,171067.242426135,544402.674179047,0,5557.76783634014,0,0,549960.442015387,549960.442015387,3501697
2019/01/08 00:00:00+00,2019,1,8,port2027,Shanghai (Yangshan),China,CHN,16,0,0,0,1,16,17,1171945.20907045,0,0,0,0,1171945.20907045,1171945.20907045,690367.393872064,0,0,0,0,690367.393872064,690367.393872064,3501698
2019/01/09 00:00:00+00,2019,1,9,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,1,11,12,646229.500040847,0,0,0,76790.6250015,646229.500040847,723020.125042347,296347.844316211,0,0,0,0,296347.844316211,296347.844316211,3501699
2019/01/10 00:00:00+00,2019,1,10,port2027,Shanghai (Yangshan),China,CHN,14,2,0,0,0,16,16,848839.794203828,0,0,0,0,848839.794203828,848839.794203828,479347.488254171,0,0,0,0,479347.488254171,479347.488254171,3501700
2019/01/11 00:00:00+00,2019,1,11,port2027,Shanghai (Yangshan),China,CHN,7,0,1,0,0,8,8,248477.386938268,0,0,0,0,248477.386938268,248477.386938268,485572.564629952,0,0,0,0,485572.564629952,485572.564629952,3501701
2019/01/12 00:00:00+00,2019,1,12,port2027,Shanghai (Yangshan),China,CHN,10,0,0,0,0,10,10,85983.6020631865,0,0,0,0,85983.6020631865,85983.6020631865,609905.987651956,0,0,0,0,609905.987651956,609905.987651956,3501702
2019/01/13 00:00:00+00,2019,1,13,port2027,Shanghai (Yangshan),China,CHN,13,0,1,0,1,14,15,152141.971486322,0,0,0,2723.19350129684,152141.971486322,154865.164987619,302926.608015784,0,0,0,0,302926.608015784,302926.608015784,3501901
2019/01/14 00:00:00+00,2019,1,14,port2027,Shanghai (Yangshan),China,CHN,14,0,1,0,1,15,16,482107.347122422,0,0,0,0,482107.347122422,482107.347122422,374582.014713764,0,6907.09278697749,0,1649.745680702,381489.107500741,383138.853181443,3501902
2019/01/15 00:00:00+00,2019,1,15,port2027,Shanghai (Yangshan),China,CHN,12,0,0,0,2,12,14,412107.290169139,0,0,0,0,412107.290169139,412107.290169139,244250.623305708,0,0,0,1330.63253686445,244250.623305708,245581.255842572,3501903
2019/01/16 00:00:00+00,2019,1,16,port2027,Shanghai (Yangshan),China,CHN,14,1,0,0,0,15,15,224000.810646631,0,0,0,0,224000.810646631,224000.810646631,617057.95619246,0,0,0,0,617057.95619246,617057.95619246,3501904
2019/01/17 00:00:00+00,2019,1,17,port2027,Shanghai (Yangshan),China,CHN,13,0,0,0,0,13,13,1344430.46608241,0,0,0,0,1344430.46608241,1344430.46608241,322802.699832528,0,0,0,0,322802.699832528,322802.699832528,3501905
2019/01/18 00:00:00+00,2019,1,18,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,1,11,12,246319.214818244,0,0,0,0,246319.214818244,246319.214818244,372705.030129958,0,0,0,545.493288425193,372705.030129958,373250.523418383,3501906
2019/01/19 00:00:00+00,2019,1,19,port2027,Shanghai (Yangshan),China,CHN,15,0,1,0,0,16,16,178841.180808746,0,0,0,0,178841.180808746,178841.180808746,715746.857382485,0,0,0,0,715746.857382485,715746.857382485,3501907
2019/01/20 00:00:00+00,2019,1,20,port2027,Shanghai (Yangshan),China,CHN,12,0,0,0,0,12,12,246330.961687416,0,0,0,0,246330.961687416,246330.961687416,469870.223278411,0,0,0,0,469870.223278411,469870.223278411,3501908
2019/01/21 00:00:00+00,2019,1,21,port2027,Shanghai (Yangshan),China,CHN,12,0,0,0,2,12,14,266657.509440909,0,0,0,10800.2141067052,266657.509440909,277457.723547615,524930.583867133,0,0,0,1315.45140021938,524930.583867133,526246.035267352,3501909
2019/01/22 00:00:00+00,2019,1,22,port2027,Shanghai (Yangshan),China,CHN,9,2,1,0,1,12,13,224592.608382459,0,0,0,12547.3164515546,224592.608382459,237139.924834013,483865.724657109,0,1344.3527248416,0,0,485210.077381951,485210.077381951,3501910
2019/01/23 00:00:00+00,2019,1,23,port2027,Shanghai (Yangshan),China,CHN,13,0,0,0,1,13,14,558215.17740412,0,0,0,0,558215.17740412,558215.17740412,433284.149555977,0,0,0,1330.63253686445,433284.149555977,434614.782092841,3501911
2019/01/24 00:00:00+00,2019,1,24,port2027,Shanghai (Yangshan),China,CHN,10,0,0,0,1,10,11,523672.611796753,0,0,0,0,523672.611796753,523672.611796753,494067.818078369,0,0,0,0,494067.818078369,494067.818078369,3501912
2019/01/25 00:00:00+00,2019,1,25,port2027,Shanghai (Yangshan),China,CHN,12,0,2,0,1,14,15,351821.901322394,0,0,0,0,351821.901322394,351821.901322394,343716.001170624,0,0,0,0,343716.001170624,343716.001170624,3501913
2019/01/26 00:00:00+00,2019,1,26,port2027,Shanghai (Yangshan),China,CHN,10,0,0,0,2,10,12,293715.322599252,0,0,0,53445.9737730035,293715.322599252,347161.296372256,419661.339349257,0,0,0,7444.06850610615,419661.339349257,427105.407855363,3501914
2019/01/27 00:00:00+00,2019,1,27,port2027,Shanghai (Yangshan),China,CHN,12,1,0,0,2,13,15,38056.412088167,0,0,0,40221.0394658877,38056.412088167,78277.4515540547,497412.809472572,0,0,0,1100.63214419507,497412.809472572,498513.441616767,3501915
2019/01/28 00:00:00+00,2019,1,28,port2027,Shanghai (Yangshan),China,CHN,11,1,0,0,1,12,13,191013.856808857,0,0,0,0,191013.856808857,191013.856808857,493191.056415246,0,0,0,1398.55182632001,493191.056415246,494589.608241566,3501916
2019/01/29 00:00:00+00,2019,1,29,port2027,Shanghai (Yangshan),China,CHN,16,0,1,0,1,17,18,243916.040102011,0,0,0,64524.1275616785,243916.040102011,308440.16766369,715209.883970177,0,5557.76783634014,0,0,720767.651806517,720767.651806517,3501917
2019/01/30 00:00:00+00,2019,1,30,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,0,11,11,559468.406781947,0,0,0,0,559468.406781947,559468.406781947,646151.903316465,0,0,0,0,646151.903316465,646151.903316465,3501918
2019/01/31 00:00:00+00,2019,1,31,port2027,Shanghai (Yangshan),China,CHN,14,0,0,0,1,14,15,574466.726464818,0,0,0,10755.8732125448,574466.726464818,585222.599677363,458791.922982678,0,0,0,0,458791.922982678,458791.922982678,3501919
2019/02/01 00:00:00+00,2019,2,1,port2027,Shanghai (Yangshan),China,CHN,8,1,1,0,1,10,11,286086.561323446,0,0,0,0,286086.561323446,286086.561323446,287471.54696853,0,0,0,0,287471.54696853,287471.54696853,3501920
2019/02/02 00:00:00+00,2019,2,2,port2027,Shanghai (Yangshan),China,CHN,10,0,0,0,1,10,11,16653.9264379383,0,0,0,95103.6744663724,16653.9264379383,111757.600904311,463394.717684534,0,0,0,0,463394.717684534,463394.717684534,3501921
2019/02/03 00:00:00+00,2019,2,3,port2027,Shanghai (Yangshan),China,CHN,10,0,0,0,0,10,10,338666.828918601,0,0,0,0,338666.828918601,338666.828918601,298296.535175591,0,0,0,0,298296.535175591,298296.535175591,3501922
2019/02/04 00:00:00+00,2019,2,4,port2027,Shanghai (Yangshan),China,CHN,14,1,0,0,0,15,15,56267.6667792943,0,0,0,0,56267.6667792943,56267.6667792943,848154.631439696,0,0,0,0,848154.631439696,848154.631439696,3501923
2019/02/05 00:00:00+00,2019,2,5,port2027,Shanghai (Yangshan),China,CHN,13,0,1,0,1,14,15,356608.206958279,0,0,0,10138.4877078498,356608.206958279,366746.694666129,481123.537634773,0,4662.374093231,0,0,485785.911728004,485785.911728004,3501924
2019/02/06 00:00:00+00,2019,2,6,port2027,Shanghai (Yangshan),China,CHN,10,1,1,0,1,12,13,367194.150793731,0,0,0,0,367194.150793731,367194.150793731,322163.960381018,0,0,0,0,322163.960381018,322163.960381018,3501925
2019/02/07 00:00:00+00,2019,2,7,port2027,Shanghai (Yangshan),China,CHN,12,1,0,0,0,13,13,370106.519133817,0,0,0,0,370106.519133817,370106.519133817,339511.890084627,0,0,0,0,339511.890084627,339511.890084627,3501926
2019/02/08 00:00:00+00,2019,2,8,port2027,Shanghai (Yangshan),China,CHN,12,0,1,0,0,13,13,88036.1973690446,0,0,0,0,88036.1973690446,88036.1973690446,446487.061021471,0,0,0,0,446487.061021471,446487.061021471,3501927
2019/02/09 00:00:00+00,2019,2,9,port2027,Shanghai (Yangshan),China,CHN,11,1,0,0,0,12,12,238638.117782494,0,0,0,0,238638.117782494,238638.117782494,346140.613230873,0,0,0,0,346140.613230873,346140.613230873,3501928
2019/02/10 00:00:00+00,2019,2,10,port2027,Shanghai (Yangshan),China,CHN,10,1,0,0,2,11,13,137686.556745373,0,0,0,108218.549636063,137686.556745373,245905.106381436,195956.940735517,0,0,0,0,195956.940735517,195956.940735517,3501929
2019/02/11 00:00:00+00,2019,2,11,port2027,Shanghai (Yangshan),China,CHN,10,0,0,0,0,10,10,70397.0884189764,0,0,0,0,70397.0884189764,70397.0884189764,308823.960741159,0,0,0,0,308823.960741159,308823.960741159,3501930
2019/02/12 00:00:00+00,2019,2,12,port2027,Shanghai (Yangshan),China,CHN,8,0,0,0,1,8,9,535742.889760744,0,0,0,0,535742.889760744,535742.889760744,151315.017054141,0,0,0,0,151315.017054141,151315.017054141,3501931
2019/02/13 00:00:00+00,2019,2,13,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,2,11,13,516657.315618883,0,0,0,10800.2141067052,516657.315618883,527457.529725588,211923.951553577,0,0,0,2231.34135759125,211923.951553577,214155.292911168,3501932
2019/02/14 00:00:00+00,2019,2,14,port2027,Shanghai (Yangshan),China,CHN,8,0,1,0,0,9,9,151335.174808299,0,0,0,0,151335.174808299,151335.174808299,147759.659195729,0,0,0,0,147759.659195729,147759.659195729,3501933
2019/02/15 00:00:00+00,2019,2,15,port2027,Shanghai (Yangshan),China,CHN,3,1,1,0,0,5,5,110588.67999601,0,0,0,0,110588.67999601,110588.67999601,211498.400945704,0,0,0,0,211498.400945704,211498.400945704,3501934
2019/02/16 00:00:00+00,2019,2,16,port2027,Shanghai (Yangshan),China,CHN,7,0,0,0,0,7,7,266253.99183209,0,0,0,0,266253.99183209,266253.99183209,298392.923325996,0,0,0,0,298392.923325996,298392.923325996,3501935
2019/02/17 00:00:00+00,2019,2,17,port2027,Shanghai (Yangshan),China,CHN,11,1,2,0,0,14,14,121111.859313827,0,0,0,0,121111.859313827,121111.859313827,211219.664507402,0,5557.76783634014,0,0,216777.432343742,216777.432343742,3501936
2019/02/18 00:00:00+00,2019,2,18,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,1,11,12,652021.390547699,0,0,0,4813.48591772678,652021.390547699,656834.876465426,281952.714632839,0,0,0,0,281952.714632839,281952.714632839,3501937
2019/02/19 00:00:00+00,2019,2,19,port2027,Shanghai (Yangshan),China,CHN,12,0,0,0,2,12,14,476311.566097241,0,0,0,0,476311.566097241,476311.566097241,435940.049535567,0,0,0,2235.09352335422,435940.049535567,438175.143058922,3501938
2019/02/20 00:00:00+00,2019,2,20,port2027,Shanghai (Yangshan),China,CHN,12,0,0,0,0,12,12,553336.298108237,0,0,0,0,553336.298108237,553336.298108237,566650.772648806,0,0,0,0,566650.772648806,566650.772648806,3501939
2019/02/21 00:00:00+00,2019,2,21,port2027,Shanghai (Yangshan),China,CHN,10,0,1,0,0,11,11,591573.733719084,0,0,0,0,591573.733719084,591573.733719084,440529.983455229,0,0,0,0,440529.983455229,440529.983455229,3501940
2019/02/22 00:00:00+00,2019,2,22,port2027,Shanghai (Yangshan),China,CHN,11,0,0,0,1,11,12,136761.214563893,0,0,0,76790.6250015,136761.214563893,213551.839565393,499845.791694599,0,0,0,0,499845.791694599,499845.791694599,3501941
2019/02/23 00:00:00+00,2019,2,23,port2027,Shanghai (Yangshan),China,CHN,9,0,1,0,0,10,10,28133.8333896471,0,0,0,0,28133.8333896471,28133.8333896471,408249.362322684,0,0,0,0,408249.362322684,408249.362322684,3501942
2019/02/24 00:00:00+00,2019,2,24,port2027,Shanghai (Yangshan),China,CHN,9,1,0,0,0,10,10,597310.461033657,0,0,0,0,597310.461033657,597310.461033657,194170.562304735,0,0,0,0,194170.562304735,194170.562304735,3501943
2019/02/25 00:00:00+00,2019,2,25,port2027,Shanghai (Yangshan),China,CHN,8,0,0,0,1,8,9,59761.8816584051,0,0,0,36811.9097922189,59761.8816584051,96573.791450624,283110.675722191,0,0,0,0,283110.675722191,283110.675722191,3501944
2019/02/26 00:00:00+00,2019,2,26,port2027,Shanghai (Yangshan),China,CHN,17,0,0,0,0,17,17,1218285.19837786,0,0,0,0,1218285.19837786,1218285.19837786,739736.274998156,0,0,0,0,739736.274998156,739736.274998156,3501945
2019/02/27 00:00:00+00,2019,2,27,port2027,Shanghai (Yangshan),China,CHN,9,1,0,0,1,10,11,366339.809794163,0,0,0,0,366339.809794163,366339.809794163,288935.585252371,0,0,0,3181.62820046992,288935.585252371,292117.21345284,3501946
